transaction_id,customer_id,transaction_date,amount,payment_method,product_id,product_category,quantity,discount_applied,transaction_status
1,497,2020-04-14,7290.23,PayPal,1,home goods,69,True,completed
2,454,2020-03-29,9671.83,PayPal,2,home goods,48,True,pending
3,945,2021-08-09,149.21,credit card,3,home goods,2,True,refunded
4,27,2020-04-13,336.32,credit card,4,home goods,86,True,pending
5,741,2021-03-12,1956.29,credit card,5,clothing,54,True,pending
6,17,2020-09-14,2530.58,credit card,6,clothing,78,True,refunded
7,332,2020-03-10,5244.62,PayPal,7,home goods,62,True,completed
8,516,2021-08-31,6816.68,PayPal,8,home goods,79,True,completed
9,45,2021-09-09,6848.52,credit card,9,home goods,69,True,refunded
10,404,2021-06-14,3071.62,credit card,10,clothing,15,True,completed
11,377,2021-11-18,910.98,debit card,11,clothing,52,True,pending
12,328,2021-02-07,7277.48,credit card,12,home goods,74,True,pending
13,746,2021-04-04,1213.86,debit card,13,clothing,70,True,completed
14,462,2020-01-25,2746.13,credit card,14,electronics,18,True,pending
15,601,2021-09-09,4932.35,credit card,15,clothing,93,True,completed
16,154,2021-08-24,2042.71,credit card,16,home goods,12,True,completed
17,33,2021-06-20,2136.39,debit card,17,clothing,25,True,refunded
18,629,2020-05-05,8104.42,credit card,18,home goods,30,True,pending
19,66,2020-04-11,7113.0,credit card,19,electronics,97,True,refunded
20,165,2020-05-02,6015.68,credit card,20,electronics,86,True,completed
21,382,2021-12-16,3903.96,PayPal,21,clothing,24,True,pending
22,881,2020-07-23,3724.65,PayPal,22,home goods,34,True,completed
23,519,2020-06-25,2278.35,credit card,23,electronics,92,True,completed
24,470,2021-08-09,1911.15,debit card,24,electronics,7,True,completed
25,520,2020-10-28,9764.36,credit card,25,home goods,51,True,completed
26,929,2021-11-15,1387.06,PayPal,26,electronics,44,True,pending
27,190,2021-09-24,6257.61,debit card,27,clothing,67,True,pending
28,136,2020-03-25,832.69,PayPal,28,clothing,73,True,refunded
29,650,2021-05-05,5086.39,credit card,29,clothing,1,True,pending
30,553,2020-02-02,2855.44,credit card,30,clothing,37,True,completed
31,711,2020-11-02,8551.19,debit card,31,electronics,9,True,pending
32,680,2020-12-14,1914.39,debit card,32,home goods,73,True,pending
33,833,2021-09-03,3186.53,debit card,33,electronics,77,True,pending
34,670,2020-02-06,8029.88,credit card,34,electronics,66,True,completed
35,109,2021-08-12,5732.15,debit card,35,electronics,25,True,pending
36,524,2020-12-18,4105.55,PayPal,36,electronics,68,True,completed
37,482,2021-01-12,2031.55,debit card,37,electronics,32,True,refunded
38,17,2021-11-14,7894.15,debit card,38,home goods,51,True,refunded
39,893,2021-11-20,7861.44,PayPal,39,clothing,90,True,pending
40,652,2021-05-23,2675.04,debit card,40,home goods,16,True,refunded
41,224,2021-09-23,828.51,PayPal,41,clothing,62,True,refunded
42,689,2021-09-14,245.6,PayPal,42,electronics,82,True,completed
43,416,2021-07-04,1918.17,credit card,43,home goods,18,True,refunded
44,514,2020-02-28,9776.32,credit card,44,home goods,94,True,pending
45,646,2021-10-14,501.83,credit card,45,electronics,20,True,pending
46,151,2020-11-22,6843.62,PayPal,46,electronics,41,True,pending
47,737,2021-09-04,8194.07,PayPal,47,electronics,47,True,refunded
48,316,2020-11-26,7534.43,credit card,48,home goods,28,True,refunded
49,930,2021-05-14,365.72,credit card,49,electronics,96,True,pending
50,751,2020-11-13,7997.3,PayPal,50,clothing,92,True,pending
51,391,2021-08-15,7571.5,credit card,51,home goods,61,True,pending
52,342,2020-08-10,9115.65,debit card,52,electronics,85,True,refunded
53,369,2020-04-09,3680.94,PayPal,53,home goods,36,True,pending
54,2,2020-07-16,4558.81,credit card,54,clothing,69,True,pending
55,625,2020-01-02,6725.92,debit card,55,home goods,94,True,completed
56,915,2021-12-21,6719.39,PayPal,56,electronics,11,True,pending
57,133,2021-09-08,8491.26,PayPal,57,clothing,76,True,pending
58,330,2021-07-24,8619.41,PayPal,58,electronics,11,True,pending
59,336,2020-04-21,4730.6,PayPal,59,home goods,86,True,pending
60,138,2020-07-23,5361.38,debit card,60,electronics,52,True,pending
