engagement_id,customer_id,engagement_date,login_frequency,time_spent,pages_visited,purchase_clicks,feedback_score,email_open_rate,promo_redemptions
1,1,2/6/2021,38,10,879,34,2.7,27.0,145
2,2,12/13/2021,24,295,19,24,8.0,62.5,350
3,3,11/23/2021,17,672,102,15,3.3,14.0,315
4,4,4/17/2021,60,175,322,76,2.3,6.4,957
5,5,6/5/2021,46,796,973,32,7.2,30.1,977
6,6,9/2/2021,23,845,174,94,9.2,40.9,687
7,7,3/12/2021,26,195,660,84,10.0,11.0,713
8,8,3/19/2021,38,1376,698,78,3.8,99.9,82
9,9,7/4/2021,79,1255,476,2,2.8,73.1,514
10,10,4/15/2021,48,1370,527,98,2.8,46.3,922
11,11,12/24/2021,36,1390,593,33,6.8,99.5,878
12,12,8/13/2021,61,550,517,98,6.0,2.6,893
13,13,8/20/2021,50,215,145,47,3.0,7.7,158
14,14,12/12/2021,46,578,24,71,0.3,71.0,994
15,15,3/19/2021,2,408,961,51,5.1,46.7,233
16,16,5/19/2021,30,153,546,15,1.1,17.5,304
17,17,7/19/2021,56,1017,629,39,8.4,14.9,608
18,18,3/4/2021,65,1305,335,72,2.7,77.3,110
19,19,7/4/2021,15,712,373,49,0.6,81.9,287
20,20,2/25/2021,27,1279,443,4,7.2,38.1,1000
21,21,12/23/2021,81,198,232,3,2.1,80.7,244
22,22,7/15/2021,100,1414,243,82,0.6,6.3,715
23,23,7/16/2021,10,1307,934,76,2.6,17.2,108
24,24,7/24/2021,83,700,65,99,5.4,23.5,110
25,25,12/14/2021,9,745,123,22,2.1,97.4,675
26,26,11/13/2021,69,174,375,81,5.4,0.0,620
27,27,11/28/2021,77,1418,118,89,3.1,35.4,745
28,28,8/17/2021,5,1097,415,54,0.9,34.5,844
29,29,3/17/2021,56,894,230,92,5.2,74.5,858
30,30,7/29/2021,96,192,848,3,5.1,33.7,392
31,31,1/3/2021,91,763,509,80,9.0,64.9,928
32,32,4/9/2021,78,1217,33,31,0.5,29.6,63
33,33,6/23/2021,27,541,494,79,8.9,21.0,440
34,34,11/29/2021,86,479,317,50,9.1,60.6,961
35,35,11/2/2021,12,448,445,61,2.5,17.5,249
36,36,10/8/2021,43,153,979,70,0.5,23.8,210
37,37,8/15/2021,84,754,909,20,7.8,19.0,212
38,38,2/28/2021,61,917,808,7,1.1,10.4,868
39,39,5/12/2021,54,766,698,100,4.0,11.9,779
40,40,2/19/2021,96,176,811,40,7.5,25.2,85
41,41,1/28/2021,78,451,922,56,8.7,51.0,730
42,42,12/5/2021,22,330,125,80,4.4,18.0,988
43,43,4/30/2021,30,348,118,47,9.0,16.2,214
44,44,1/20/2021,76,594,511,33,1.9,12.5,499
45,45,1/2/2021,17,361,953,44,2.3,81.4,114
46,46,4/14/2021,51,1212,298,33,3.6,16.6,170
47,47,9/16/2021,61,905,268,82,9.8,63.5,766
48,48,2/2/2021,38,600,794,67,1.6,4.1,636
49,49,10/4/2021,89,733,526,50,5.8,42.6,567
50,50,10/14/2021,20,534,982,11,0.3,15.9,593
51,51,1/11/2021,11,932,220,35,4.1,87.8,719
52,52,8/26/2021,71,1295,574,2,0.6,13.5,70
53,53,1/21/2021,1,1374,502,25,7.1,34.5,120
54,54,3/12/2021,5,377,737,42,0.7,79.2,467
55,55,7/20/2021,32,1304,655,73,9.6,46.4,500
56,56,10/12/2021,24,473,819,71,3.9,68.5,774
57,57,11/23/2021,14,1250,442,22,4.8,9.8,354
58,58,7/12/2021,32,1008,767,22,2.8,42.2,981
59,59,8/6/2021,77,65,743,0,7.7,76.6,788
60,60,3/26/2021,69,613,810,31,0.6,99.0,290
61,61,9/14/2021,60,1315,65,98,0.4,95.4,749
62,62,9/19/2021,72,401,404,75,4.8,2.5,57
63,63,3/17/2021,22,933,582,32,4.2,79.2,987
64,64,12/23/2021,95,592,993,0,6.5,67.9,302
65,65,9/10/2021,22,943,517,77,3.6,78.0,87
66,66,1/3/2021,19,1211,529,100,5.6,3.5,842
67,67,2/13/2021,47,1069,677,27,6.7,42.9,924
68,68,6/13/2021,4,373,120,100,2.2,85.7,338
69,69,7/29/2021,38,954,947,25,4.1,77.5,786
70,70,1/3/2021,40,585,949,31,8.9,49.7,498
71,71,9/11/2021,74,1402,25,55,3.6,89.1,287
72,72,4/2/2021,65,361,606,68,5.0,90.7,641
73,73,1/11/2021,41,53,656,52,3.5,93.8,537
74,74,6/19/2021,60,276,704,9,9.6,0.7,437
75,75,8/10/2021,2,817,941,36,6.3,4.1,135
76,76,6/23/2021,99,565,479,64,7.9,52.8,481
77,77,8/30/2021,23,641,65,67,5.6,19.0,83
78,78,7/3/2021,67,1362,524,91,4.5,13.3,56
79,79,3/1/2021,42,692,445,12,4.1,39.0,653
80,80,8/10/2021,21,238,585,43,1.0,6.4,103
81,81,5/15/2021,7,1160,953,73,1.8,95.9,923
82,82,2/7/2021,14,701,679,85,7.8,46.6,748
83,83,10/12/2021,15,968,910,63,5.0,6.0,263
84,84,6/2/2021,88,108,815,96,5.8,37.6,730
85,85,1/21/2021,66,1417,174,15,0.4,44.4,403
86,86,6/4/2021,95,242,989,85,8.9,73.8,361
87,87,11/7/2021,34,653,781,37,4.8,19.4,390
88,88,3/8/2021,50,562,182,52,0.4,45.4,835
89,89,9/13/2021,22,1050,755,82,3.3,42.2,655
90,90,11/30/2021,55,419,966,22,3.9,71.8,915
91,91,9/12/2021,9,66,249,30,6.9,82.3,722
92,92,8/5/2021,5,286,833,75,1.2,88.4,335
93,93,6/25/2021,5,1306,231,88,2.1,71.6,538
94,94,3/13/2021,60,1225,799,90,1.6,22.0,938
95,95,6/24/2021,46,691,659,26,5.1,42.9,740
96,96,4/1/2021,45,958,761,36,3.8,33.9,328
97,97,6/15/2021,9,724,199,40,7.1,59.8,118
98,98,6/16/2021,72,121,287,24,1.8,70.1,674
99,99,7/20/2021,62,48,914,97,5.2,25.4,347
100,100,2/28/2021,88,191,322,92,2.7,61.3,196
101,101,4/20/2021,14,784,983,51,5.9,23.1,540
102,102,6/14/2021,44,1309,886,48,2.4,95.8,405
103,103,6/7/2021,100,1312,43,71,2.0,1.4,513
104,104,6/20/2021,87,132,379,42,5.0,2.4,885
105,105,7/16/2021,85,352,773,46,0.4,93.3,267
106,106,9/22/2021,13,634,821,67,4.4,11.0,306
107,107,12/16/2021,75,453,618,36,1.2,89.1,248
108,108,5/31/2021,74,784,325,27,5.5,39.2,82
109,109,1/10/2021,56,774,313,51,2.1,4.1,353
110,110,10/10/2021,48,1051,227,44,2.8,49.2,321
111,111,5/27/2021,66,309,47,42,9.4,7.8,394
112,112,1/22/2021,0,239,366,41,0.6,84.1,635
113,113,5/18/2021,6,218,581,52,3.0,23.0,405
114,114,9/4/2021,23,843,513,5,2.8,25.3,381
115,115,5/26/2021,56,710,453,2,9.3,41.8,944
116,116,6/18/2021,84,820,549,32,6.1,23.9,889
117,117,11/2/2021,69,89,929,56,4.8,15.2,374
118,118,7/4/2021,40,1140,729,89,1.0,79.3,572
